,US_Pub_date,Total_cits_Recd sum,Direct_cits_Recd_in3 sum
0,1976,11122,643
1,1977,293558,19300
2,1978,633947,41603
3,1979,520463,35478
4,1980,652331,40238
5,1981,733819,43970
6,1982,689894,45774
7,1983,693770,52406
8,1984,683288,56668
9,1985,899255,78063
10,1986,905944,85082
11,1987,1117654,110541
12,1988,1054065,103642
13,1989,1270635,116133
14,1990,1197583,114925
15,1991,1244963,126215
16,1992,1244271,131821
17,1993,1140272,133658
18,1994,1100675,144375
19,1995,1042957,153941
20,1996,1082248,189073
21,1997,1030421,211424
22,1998,1284163,261493
23,1999,1301109,285436
24,2000,1341754,326683
25,2001,1805731,420185
26,2002,2787662,519856
27,2003,2548724,447642
28,2004,2497709,415139
29,2005,2480581,373665
30,2006,2301201,355267
31,2007,2247286,334748
32,2008,2301627,340121
33,2009,2060312,346676
34,2010,2125712,369166
35,2011,2042718,377252
36,2012,2037828,404063
37,2013,1960608,439509
38,2014,1964426,485317
39,2015,1609184,498461
40,2016,1381355,471572
41,2017,1063047,331797
42,2018,759496,167791
43,2019,472940,47495
