,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1947,13513,30.8,8.5,25,14.8,-999,24.656,120.102,112.848,-999,-999,-999,2.5567,3.1333,0.38,-999,-999,-999,-999,15.39,12.566,145,523,423,35.854,311,3603,5380,218.091,2033.061,3.713,-999,1,-999,-999,135.439,56.576
1947.25,13437,31.2,8.7,25.1,14,1.414,25.227,119.588,111.284,-999,-999,-999,2.5367,3.18,0.38,-999,-999,-1.57,-0.32,14.59333333,12.745,148,535,430,34.505,317,3648,5434,201.386,2027.639,3.798,-999,1.019509167,-999,-999,137.604583,54.37036052
1947.5,13362,31.4,8.7,25.3,14,1.65,24.484,119.027,113.056,-999,-999,-999,2.5733,3.1933,0.7367,-999,-999,1.72,-3.62,15.43,12.957,151,544,437,34.911,319,3648,5397,195.461,2023.452,3.911,-999,1.021425696,-999,-999,137.8252156,53.95687967
1947.75,13510,30.7,9,24.7,16.6,2.432,25.511,119.242,111.472,-999,-999,-999,2.7767,3.4367,0.9067,-999,-999,-1.98,3.17,15.25,13.276,162,551,443,43.25,339,3584,5344,233.284,2055.103,4.003,-999,1.006665134,-999,-999,136.5006145,62.75090865
1948,13649,30.6,8.8,24.6,17.7,0.773,25.61,119.403,111.668,57671,102771,-999,2.8467,3.5267,0.99,-999,3.7333,12.1,9.73,14.41,13.379,162,560,448,47.202,336,3581,5380,257.22,2086.017,4.098,83.9243,1.006046449,-999,-999,137.3985376,65.79541296
1948.25,13816,30.5,8.8,24.6,18.4,0.878,25.546,119.013,111.641,58743,102992,-999,2.7667,3.3967,1,-999,3.6667,8.7,8.09,16.12333333,13.497,164,569,458,50.336,337,3602,5442,273.138,2120.45,4.153,83.2488,1.014856232,-999,-999,139.0997921,67.87866835
1948.5,13834,29.9,9,24.5,18.8,1.835,25.58,118.662,111.612,58513,103291,-999,2.83,3.42,1.05,-999,3.7667,1.4,-3.48,16.04,13.747,172,568,465,52.516,341,3565,5448,275.936,2132.598,4.238,82.5096,1.032863291,-999,-999,138.9658404,68.95841987
1948.75,13784,29.8,8.9,24.7,18.3,0.305,25.682,118.23,110.69,58740,103468,-999,2.8233,3.52,1.14,-999,3.8333,2.63,0.49,15.55666667,13.789,169,567,469,51.334,334,3595,5477,262.741,2134.981,4.28,80.4134,1.041633739,-999,-999,140.600923,67.34120556
1949,13537,30,8.9,25.3,15.7,-0.524,25.933,118.127,111.024,58043,103665,-999,2.7067,3.46,1.17,-999,4.6667,-2.2,-6.29,15.01333333,13.717,165,558,470,43.14,327,3593,5488,223.507,2105.562,4.306,76.9048,1.047396725,-999,-999,141.304896,59.82339488
1949.25,13438,30.1,9.7,25.9,13.3,-1.011,26.205,117.66,111.234,57172,103930,-999,2.7067,3.4567,1.17,-999,5.8667,6.22,-0.71,14.54666667,13.579,177,550,471,36.241,354,3588,5493,193.795,2098.38,4.316,73.4775,1.04989739,-999,-999,141.8470798,55.64724965
1949.5,13528,29.4,10,25.8,14.5,-0.517,26.835,117.22,109.132,57584,104219,-999,2.63,3.41,1.0433,-999,6.7,3.52,6.97,15.18,13.509,183,537,470,39.549,369,3542,5458,209.862,2120.044,4.326,73.8471,1.043124732,-999,-999,141.0467839,60.07630118
1949.75,13346,29.9,10.5,26.2,13.8,0.067,26.692,117.367,109.751,57845,104524,-999,2.5967,3.34,1.0767,-999,6.9667,0.55,-3.1,16.18,13.518,189,539,472,37.468,382,3583,5450,199.54,2102.251,4.312,72.4424,1.040707654,-999,-999,142.4557962,59.32105371
1950,13819,29,10.4,25.7,16.6,-0.207,27.617,117.95,108.493,57728,104844,-999,2.5767,3.24,1.1033,-999,6.4,8.37,17.11,17.14666667,13.49,195,540,478,46.749,395,3614,5495,246.911,2184.872,4.423,75.5711,1.04014053,-999,-999,144.2484464,68.7028841
1950.25,14186,28.5,10.2,25.6,18,0.355,27.927,118.244,109.121,59052,105104,-999,2.61,3.2533,1.1533,-999,5.5667,-1.01,8.13,18.34,13.538,197,547,490,52.291,397,3644,5614,273.335,2251.507,4.518,81.1239,1.04839506,-999,-999,146.8496445,73.2393856
1950.5,14670,28.1,12.1,24.9,19,2.148,28.532,118.807,107.704,59575,105269,-999,2.6333,3.2533,1.22,-999,4.6333,-0.08,8.13,18.29666667,13.832,246,570,503,58.641,489,3691,5677,296.831,2338.514,4.607,87.024,1.048561143,-999,-999,149.25926,83.7607593
