Date,Resident,Non-resident
1980,62098,42231
1981,62404,44009
1982,63316,46309
1983,59391,44312
1984,61841,49443
1985,63673,51562
1986,65195,55721
1987,68315,63522
1988,75192,68644
1989,82370,76337
1990,90643,80520
1991,87955,84160
1992,92425,90922
1993,99955,84241
1994,107233,95522
1995,123962,104180
1996,106892,105054
1997,119214,101282
1998,134733,102246
1999,149251,116512
2000,164795,131100
2001,177513,148958
2002,184245,150200
2003,188941,153500
2004,189536,167407
2005,207867,182866
2006,221784,204182
2007,241347,214807
2008,231588,224733
2009,224912,231194
2010,241977,248249
2011,247750,255832
2012,268782,274033
2013,287831,283781
2014,285096,293706
2015,288335,301075
2016,295327,310244
2017,293904,313052
2018,285095,312046
2019,285113,336340
2020,269586,327586
