1980,104329
1981,106413
1982,109625
1983,103703
1984,111284
1985,115235
1986,120916
1987,131837
1988,143836
1989,158707
1990,171163
1991,172115
1992,183347
1993,184196
1994,202755
1995,228142
1996,211946
1997,220496
1998,236979
1999,265763
2000,295895
2001,326471
2002,334445
2003,342441
2004,356943
2005,390733
2006,425966
2007,456154
2008,456321
2009,456106
2010,490226
2011,503582
2012,542815
2013,571612
2014,578802
2015,589410
2016,605571
2017,606956
2018,597141
2019,621453
2020,597172
